TopK,ARR,IR,MDD,CR,IC,RankIC,ICIR,RankICIR,num_factors
150,0.26186724008516343,3.179184208765831,-0.09241471261368195,2.833609851494513,0.12666578401375023,0.12302202336432787,0.762317440966773,0.7417781668847137,150
200,0.28456320014270126,3.436140924945047,-0.09888074068219432,2.8778425220063424,0.14027128902712716,0.136212125135414,0.8466014587667755,0.8219981015798518,200
250,0.302532629740836,3.687767252849472,-0.09747901019406169,3.1035669026445034,0.15083152030487165,0.14632212797605448,0.9291035765836191,0.9008599959954292,250
300,0.3000595220391983,3.664805841439843,-0.09852954338897568,3.0453761553996146,0.15938739573960897,0.15452697281501376,0.9958529224969442,0.9653368289682295,300
350,0.32029096108834587,3.817135852789366,-0.09260001050233213,3.4588652782094376,0.174986927320387,0.1700294638859871,1.0839997336902403,1.0519756494749335,350
400,0.3236540523504327,3.940836773081584,-0.07834263933925412,4.1312630654283256,0.1806227338126957,0.1756259109242911,1.1373414766929295,1.1057326150581581,400
500,0.36022074695831363,4.320551632043526,-0.07886040033860042,4.567828027903043,0.19361648665142542,0.18860172358148417,1.2357816822141554,1.2025285346019945,500
550,0.3583854509929308,4.348888315277699,-0.07577628161259575,4.72952015282522,0.19412673043634576,0.18918450653382712,1.242287866006091,1.2093381186363845,550
600,0.35349499709787713,4.23683219362977,-0.08084256565557757,4.372634567338085,0.1932920120769172,0.18844421877073872,1.2403200269815076,1.2070995756586813,600
650,0.35049333545282146,4.266579841952707,-0.08493181296967522,4.1267614948707685,0.1974116556330431,0.19255606412246185,1.270471893287668,1.2355213019768758,650
700,0.3696987834022571,4.47505859153936,-0.09357319531100194,3.950904766835396,0.20744027627264358,0.20254356628981768,1.347533314317201,1.3112555666091095,700
